book_id,total_unique_readers,rereader_count,reread_probability
0,3,1,0.3333333333333333
1,2,1,0.5
2,3,0,0.0
3,5,3,0.6
4,30,5,0.16666666666666666
5,8,0,0.0
6,5,0,0.0
7,5,0,0.0
8,9,0,0.0
9,8,0,0.0
10,9,0,0.0
11,3,1,0.3333333333333333
12,6,2,0.3333333333333333
13,13,1,0.07692307692307693
14,3,2,0.6666666666666666
15,4,2,0.5
16,7,1,0.14285714285714285
17,5,0,0.0
18,3,0,0.0
19,4,0,0.0
20,3,0,0.0
21,3,1,0.3333333333333333
22,3,1,0.3333333333333333
23,11,0,0.0
24,2,1,0.5
25,4,1,0.25
26,4,0,0.0
27,4,3,0.75
28,5,0,0.0
29,4,0,0.0
30,6,0,0.0
31,4,0,0.0
32,5,0,0.0
33,4,0,0.0
34,8,0,0.0
35,2,1,0.5
36,5,2,0.4
37,8,8,1.0
38,12,2,0.16666666666666666
39,9,0,0.0
40,18,0,0.0
41,4,0,0.0
42,13,2,0.15384615384615385
43,2,0,0.0
44,5,2,0.4
45,11,8,0.7272727272727273
46,52,2,0.038461538461538464
47,5,0,0.0
48,9,0,0.0
49,18,1,0.05555555555555555
50,3,0,0.0
51,5,0,0.0
52,5,4,0.8
53,14,12,0.8571428571428571
54,4,0,0.0
55,8,0,0.0
56,19,0,0.0
57,3,0,0.0
58,23,17,0.7391304347826086
59,4,1,0.25
60,3,0,0.0
61,5,0,0.0
62,5,0,0.0
63,7,0,0.0
64,13,0,0.0
65,6,1,0.16666666666666666
66,9,0,0.0
67,7,0,0.0
68,6,0,0.0
69,6,0,0.0
70,7,0,0.0
71,11,1,0.09090909090909091
72,5,0,0.0
73,7,0,0.0
74,9,3,0.3333333333333333
75,7,6,0.8571428571428571
76,2,2,1.0
77,3,0,0.0
78,6,4,0.6666666666666666
79,5,0,0.0
80,1,1,1.0
81,4,3,0.75
82,8,0,0.0
83,8,0,0.0
84,5,0,0.0
85,6,0,0.0
86,4,0,0.0
87,12,0,0.0
88,13,0,0.0
89,9,0,0.0
90,4,0,0.0
91,13,9,0.6923076923076923
92,3,3,1.0
93,5,2,0.4
94,1,0,0.0
96,8,0,0.0
97,3,0,0.0
98,2,0,0.0
99,3,0,0.0
100,3,2,0.6666666666666666
101,21,16,0.7619047619047619
102,7,2,0.2857142857142857
103,2,1,0.5
104,5,0,0.0
105,4,0,0.0
106,6,0,0.0
107,2,0,0.0
108,4,3,0.75
109,2,0,0.0
110,5,4,0.8
111,3,3,1.0
112,2,0,0.0
113,6,4,0.6666666666666666
114,6,4,0.6666666666666666
115,1,0,0.0
116,5,0,0.0
117,5,4,0.8
118,11,5,0.45454545454545453
119,10,0,0.0
120,6,0,0.0
121,8,1,0.125
122,9,0,0.0
123,2,0,0.0
124,5,1,0.2
125,5,2,0.4
126,6,0,0.0
127,7,1,0.14285714285714285
128,16,1,0.0625
129,4,1,0.25
130,3,1,0.3333333333333333
131,11,0,0.0
132,2,2,1.0
133,14,0,0.0
134,5,0,0.0
135,5,0,0.0
136,5,0,0.0
137,7,0,0.0
138,11,0,0.0
139,13,0,0.0
140,4,0,0.0
141,7,0,0.0
142,16,0,0.0
143,17,0,0.0
144,6,0,0.0
145,5,0,0.0
146,6,1,0.16666666666666666
147,6,0,0.0
148,6,0,0.0
149,39,3,0.07692307692307693
150,7,0,0.0
151,4,1,0.25
152,8,1,0.125
153,8,1,0.125
154,7,0,0.0
155,7,1,0.14285714285714285
156,7,1,0.14285714285714285
157,2,0,0.0
158,7,1,0.14285714285714285
159,5,0,0.0
160,9,1,0.1111111111111111
161,6,4,0.6666666666666666
162,7,0,0.0
163,30,1,0.03333333333333333
164,8,0,0.0
165,7,0,0.0
166,4,1,0.25
167,15,1,0.06666666666666667
168,3,0,0.0
169,34,2,0.058823529411764705
170,10,0,0.0
171,8,0,0.0
172,3,0,0.0
173,6,0,0.0
174,3,1,0.3333333333333333
175,4,0,0.0
176,15,0,0.0
177,12,0,0.0
178,4,0,0.0
179,3,0,0.0
180,4,0,0.0
181,5,1,0.2
182,12,0,0.0
183,2,0,0.0
184,5,0,0.0
185,4,1,0.25
186,11,0,0.0
187,3,0,0.0
188,13,0,0.0
189,5,2,0.4
190,5,0,0.0
191,6,0,0.0
192,2,0,0.0
193,8,0,0.0
194,3,0,0.0
195,7,3,0.42857142857142855
196,5,0,0.0
197,6,0,0.0
198,10,0,0.0
199,6,0,0.0
200,3,0,0.0
201,8,0,0.0
202,6,1,0.16666666666666666
203,7,0,0.0
204,3,0,0.0
205,6,0,0.0
206,6,0,0.0
207,10,1,0.1
208,8,1,0.125
209,20,1,0.05
211,1,1,1.0
212,3,1,0.3333333333333333
213,3,0,0.0
214,4,0,0.0
215,5,0,0.0
216,9,0,0.0
